Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
87,63.0,2024-05-01,32-039,DAL,@,LAC,W (+30),1,35,6.0,14.0,42.9%,1.0,7.0,14.3%,1.0,1.0,100.0%,1.0,3.0,4.0,6.0,2.0,0.0,0.0,4.0,14.0,12.8,35.0,Away
88,64.0,2024-05-03,32-041,DAL,,LAC,W (+13),1,42,11.0,19.0,57.9%,5.0,9.0,55.6%,3.0,5.0,60.0%,1.0,5.0,6.0,4.0,2.0,2.0,1.0,3.0,30.0,26.5,22.0,Home
89,65.0,2024-05-07,32-045,DAL,@,OKC,L (-22),1,37,7.0,14.0,50.0%,3.0,4.0,75.0%,3.0,3.0,100.0%,0.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,20.0,13.3,-15.0,Away
90,66.0,2024-05-09,32-047,DAL,@,OKC,W (+9),1,41,2.0,8.0,25.0%,0.0,2.0,0.0%,5.0,6.0,83.3%,2.0,1.0,3.0,11.0,2.0,2.0,2.0,4.0,9.0,13.0,9.0,Away
92,68.0,2024-05-13,32-051,DAL,,OKC,L (-4),1,40,4.0,11.0,36.4%,0.0,2.0,0.0%,1.0,2.0,50.0%,0.0,1.0,1.0,9.0,0.0,0.0,1.0,5.0,9.0,6.1,4.0,Home
95,71.0,2024-05-22,32-060,DAL,@,MIN,W (+3),1,40,12.0,23.0,52.2%,0.0,3.0,0.0%,6.0,6.0,100.0%,1.0,4.0,5.0,4.0,0.0,1.0,2.0,3.0,30.0,20.9,5.0,Away
96,72.0,2024-05-24,32-062,DAL,@,MIN,W (+1),1,39,7.0,16.0,43.8%,4.0,7.0,57.1%,2.0,5.0,40.0%,2.0,2.0,4.0,6.0,1.0,0.0,2.0,4.0,20.0,14.0,6.0,Away
97,73.0,2024-05-26,32-064,DAL,,MIN,W (+9),1,41,12.0,20.0,60.0%,3.0,6.0,50.0%,6.0,8.0,75.0%,0.0,3.0,3.0,4.0,1.0,0.0,4.0,1.0,33.0,23.3,12.0,Home
98,74.0,2024-05-28,32-066,DAL,,MIN,L (-5),1,41,6.0,18.0,33.3%,1.0,6.0,16.7%,3.0,3.0,100.0%,2.0,0.0,2.0,4.0,1.0,0.0,4.0,2.0,16.0,6.2,-2.0,Home
99,75.0,2024-05-30,32-068,DAL,@,MIN,W (+21),1,39,14.0,27.0,51.9%,4.0,10.0,40.0%,4.0,4.0,100.0%,1.0,3.0,4.0,5.0,0.0,0.0,0.0,2.0,36.0,27.0,17.0,Away
101,77.0,2024-06-09,32-078,DAL,@,BOS,L (-7),1,41,7.0,18.0,38.9%,0.0,3.0,0.0%,2.0,2.0,100.0%,0.0,2.0,2.0,6.0,0.0,0.0,2.0,4.0,16.0,7.4,-3.0,Away
