Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
62,59.0,2024-03-07,26-004,BOS,@,DEN,L (-6),1,38,5.0,13.0,38.5%,2.0,5.0,40.0%,3.0,4.0,75.0%,1.0,3.0,4.0,8.0,2.0,0.0,5.0,4.0,15.0,10.1,-2.0,Away
63,60.0,2024-03-09,26-006,BOS,@,PHO,W (+10),1,42,11.0,28.0,39.3%,5.0,9.0,55.6%,2.0,2.0,100.0%,3.0,7.0,10.0,7.0,1.0,0.0,4.0,0.0,29.0,19.9,4.0,Away
64,61.0,2024-03-11,26-008,BOS,@,POR,W (+22),1,35,9.0,23.0,39.1%,2.0,8.0,25.0%,6.0,8.0,75.0%,0.0,5.0,5.0,8.0,0.0,0.0,1.0,0.0,26.0,18.8,16.0,Away
65,62.0,2024-03-12,26-009,BOS,@,UTA,W (+16),1,34,13.0,25.0,52.0%,4.0,10.0,40.0%,8.0,8.0,100.0%,2.0,4.0,6.0,2.0,0.0,1.0,3.0,3.0,38.0,26.2,8.0,Away
66,63.0,2024-03-14,26-011,BOS,,PHO,W (+15),1,33,10.0,18.0,55.6%,4.0,8.0,50.0%,2.0,3.0,66.7%,1.0,4.0,5.0,5.0,0.0,0.0,3.0,3.0,26.0,18.2,26.0,Home
67,64.0,2024-03-17,26-014,BOS,@,WAS,W (+26),1,26,8.0,17.0,47.1%,6.0,12.0,50.0%,8.0,10.0,80.0%,0.0,6.0,6.0,6.0,3.0,1.0,2.0,1.0,30.0,27.8,26.0,Away
69,65.0,2024-03-20,26-017,BOS,,MIL,W (+3),1,39,9.0,19.0,47.4%,4.0,7.0,57.1%,9.0,10.0,90.0%,0.0,8.0,8.0,4.0,3.0,2.0,2.0,2.0,31.0,27.7,2.0,Home
71,66.0,2024-03-23,26-020,BOS,@,CHI,W (+11),1,37,8.0,20.0,40.0%,2.0,7.0,28.6%,8.0,9.0,88.9%,1.0,1.0,2.0,6.0,1.0,1.0,5.0,1.0,26.0,16.3,5.0,Away
72,67.0,2024-03-25,26-022,BOS,@,ATL,L (-2),1,39,13.0,26.0,50.0%,2.0,7.0,28.6%,9.0,11.0,81.8%,2.0,6.0,8.0,5.0,2.0,1.0,2.0,1.0,37.0,30.2,3.0,Away
73,68.0,2024-03-28,26-025,BOS,@,ATL,L (-1),1,45,9.0,22.0,40.9%,2.0,7.0,28.6%,11.0,13.0,84.6%,3.0,10.0,13.0,6.0,0.0,0.0,2.0,3.0,31.0,24.5,-11.0,Away
75,70.0,2024-04-01,26-029,BOS,@,CHO,W (+14),1,34,9.0,19.0,47.4%,4.0,10.0,40.0%,3.0,3.0,100.0%,0.0,10.0,10.0,4.0,2.0,1.0,4.0,2.0,25.0,19.0,14.0,Away
76,71.0,2024-04-03,26-031,BOS,,OKC,W (+35),1,28,7.0,15.0,46.7%,2.0,5.0,40.0%,8.0,8.0,100.0%,3.0,4.0,7.0,3.0,1.0,0.0,0.0,2.0,24.0,21.9,14.0,Home
77,72.0,2024-04-05,26-033,BOS,,SAC,W (+1),1,32,5.0,15.0,33.3%,1.0,6.0,16.7%,6.0,8.0,75.0%,0.0,6.0,6.0,5.0,0.0,0.0,3.0,0.0,17.0,10.0,14.0,Home
80,74.0,2024-04-11,26-039,BOS,,NYK,L (-9),1,31,5.0,13.0,38.5%,1.0,7.0,14.3%,7.0,9.0,77.8%,1.0,3.0,4.0,7.0,2.0,1.0,2.0,3.0,18.0,16.1,-30.0,Home
83,75.0,2024-04-21,26-049,BOS,,MIA,W (+20),1,41,7.0,18.0,38.9%,1.0,8.0,12.5%,8.0,8.0,100.0%,1.0,9.0,10.0,10.0,2.0,0.0,3.0,4.0,23.0,21.0,3.0,Home
84,76.0,2024-04-24,26-052,BOS,,MIA,L (-10),1,41,10.0,20.0,50.0%,2.0,6.0,33.3%,6.0,8.0,75.0%,0.0,8.0,8.0,3.0,0.0,1.0,3.0,3.0,28.0,18.2,6.0,Home
85,77.0,2024-04-27,26-055,BOS,@,MIA,W (+20),1,38,6.0,16.0,37.5%,2.0,7.0,28.6%,8.0,12.0,66.7%,0.0,11.0,11.0,6.0,0.0,1.0,0.0,3.0,22.0,18.6,22.0,Away
86,78.0,2024-04-29,26-057,BOS,@,MIA,W (+14),1,37,5.0,14.0,35.7%,2.0,6.0,33.3%,8.0,8.0,100.0%,0.0,11.0,11.0,5.0,0.0,0.0,1.0,3.0,20.0,16.8,12.0,Away
87,79.0,2024-05-01,26-059,BOS,,MIA,W (+34),1,32,4.0,9.0,44.4%,2.0,4.0,50.0%,6.0,9.0,66.7%,0.0,12.0,12.0,3.0,0.0,1.0,2.0,2.0,16.0,13.7,35.0,Home
88,80.0,2024-05-07,26-065,BOS,,CLE,W (+25),1,34,7.0,19.0,36.8%,0.0,5.0,0.0%,4.0,4.0,100.0%,2.0,9.0,11.0,5.0,0.0,3.0,1.0,3.0,18.0,15.0,18.0,Home
89,81.0,2024-05-09,26-067,BOS,,CLE,L (-24),1,37,7.0,17.0,41.2%,2.0,5.0,40.0%,9.0,11.0,81.8%,0.0,7.0,7.0,6.0,1.0,0.0,1.0,3.0,25.0,20.2,-22.0,Home
90,82.0,2024-05-11,26-069,BOS,@,CLE,W (+13),1,41,11.0,25.0,44.0%,2.0,8.0,25.0%,9.0,9.0,100.0%,1.0,12.0,13.0,6.0,1.0,1.0,5.0,2.0,33.0,24.3,8.0,Away
91,83.0,2024-05-13,26-071,BOS,@,CLE,W (+7),1,43,11.0,25.0,44.0%,2.0,8.0,25.0%,9.0,9.0,100.0%,2.0,9.0,11.0,5.0,2.0,1.0,4.0,2.0,33.0,25.4,6.0,Away
92,84.0,2024-05-15,26-073,BOS,,CLE,W (+15),1,43,9.0,16.0,56.3%,3.0,7.0,42.9%,4.0,4.0,100.0%,0.0,10.0,10.0,9.0,4.0,0.0,1.0,3.0,25.0,28.5,18.0,Home
93,85.0,2024-05-21,26-079,BOS,,IND,W (+5),1,45,12.0,26.0,46.2%,2.0,8.0,25.0%,10.0,12.0,83.3%,2.0,10.0,12.0,4.0,3.0,0.0,4.0,4.0,36.0,26.4,20.0,Home
94,86.0,2024-05-23,26-081,BOS,,IND,W (+16),1,42,9.0,20.0,45.0%,1.0,7.0,14.3%,4.0,4.0,100.0%,1.0,5.0,6.0,5.0,0.0,0.0,4.0,3.0,23.0,13.1,0.0,Home
95,87.0,2024-05-25,26-083,BOS,@,IND,W (+3),1,43,12.0,23.0,52.2%,5.0,10.0,50.0%,7.0,11.0,63.6%,1.0,9.0,10.0,8.0,1.0,2.0,0.0,3.0,36.0,33.3,9.0,Away
96,88.0,2024-05-27,26-085,BOS,@,IND,W (+3),1,43,11.0,26.0,42.3%,3.0,11.0,27.3%,1.0,1.0,100.0%,3.0,10.0,13.0,8.0,1.0,0.0,5.0,5.0,26.0,16.9,6.0,Away
97,89.0,2024-06-06,26-095,BOS,,DAL,W (+18),1,42,6.0,16.0,37.5%,3.0,7.0,42.9%,1.0,2.0,50.0%,2.0,9.0,11.0,5.0,0.0,1.0,6.0,1.0,16.0,8.7,19.0,Home
98,90.0,2024-06-09,26-098,BOS,,DAL,W (+7),1,45,6.0,22.0,27.3%,1.0,7.0,14.3%,5.0,6.0,83.3%,1.0,8.0,9.0,12.0,1.0,0.0,3.0,2.0,18.0,13.3,6.0,Home
