height,weight,overall_rating,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,age
182.88,168,68.0,right,high,medium,72.0,55.0,68.0,64.0,57.0,63.0,64.0,63.0,66.0,59.0,77.0,83.0,75.0,64.0,71.0,65.0,80.0,90.0,75.0,62.0,83.0,59.0,68.0,74.0,70.0,62.0,67.0,66.0,29
180.34,132,69.0,right,high,medium,71.0,68.0,58.0,66.0,65.0,70.0,59.0,65.0,59.0,64.0,81.0,78.0,68.0,58.0,80.0,68.0,66.0,67.0,46.0,59.0,54.0,34.0,68.0,77.0,67.0,14.0,17.0,22.0,25
177.8,163,65.0,right,medium,medium,67.0,63.0,37.0,61.0,64.0,70.0,63.0,66.0,60.0,67.0,77.0,73.0,68.0,60.0,69.0,68.0,47.0,63.0,57.0,67.0,49.0,43.0,59.0,56.0,53.0,45.0,48.0,46.0,27
177.8,170,66.0,right,medium,medium,61.0,35.0,62.0,61.0,34.0,65.0,43.0,39.0,57.0,63.0,79.0,76.0,65.0,66.0,81.0,37.0,62.0,72.0,52.0,29.0,58.0,65.0,51.0,48.0,47.0,63.0,69.0,62.0,22
187.96,168,69.0,left,medium,medium,71.0,54.0,66.0,69.0,58.0,68.0,73.0,76.0,66.0,68.0,69.0,75.0,65.0,73.0,63.0,73.0,66.0,77.0,72.0,60.0,68.0,61.0,70.0,64.0,61.0,67.0,70.0,69.0,28
175.26,139,78.0,left,medium,medium,79.0,75.0,44.0,79.0,67.0,85.0,77.0,77.0,73.0,82.0,78.0,69.0,84.0,72.0,78.0,74.0,53.0,71.0,64.0,78.0,62.0,48.0,77.0,74.0,68.0,39.0,33.0,34.0,28
180.34,165,57.0,right,medium,medium,43.0,44.0,48.0,67.0,37.0,56.0,42.0,41.0,62.0,61.0,66.0,67.0,70.0,57.0,75.0,66.0,67.0,54.0,58.0,47.0,64.0,40.0,54.0,54.0,47.0,39.0,50.0,49.0,21
187.96,181,67.0,right,low,medium,35.0,31.0,64.0,47.0,42.0,47.0,37.0,24.0,40.0,49.0,55.0,71.0,68.0,64.0,59.0,67.0,53.0,80.0,80.0,28.0,81.0,73.0,30.0,46.0,44.0,60.0,76.0,60.0,30
172.72,161,80.0,right,high,medium,74.0,73.0,67.0,83.0,72.0,85.0,77.0,66.0,74.0,82.0,76.0,70.0,83.0,75.0,76.0,68.0,73.0,83.0,67.0,72.0,46.0,61.0,76.0,83.0,70.0,30.0,52.0,38.0,28
175.26,161,70.0,right,high,low,56.0,75.0,66.0,65.0,70.0,62.0,66.0,53.0,53.0,69.0,76.0,74.0,70.0,73.0,77.0,66.0,75.0,70.0,60.0,62.0,47.0,34.0,74.0,66.0,79.0,19.0,21.0,14.0,30
